player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Quazzel White,60107,G,UTAH ST,14,100.0,2,329,54.3,66.3,48.9,5,14,562,100.0,100.0,98.0,5,21,2,1097,0,0,0,1097,604,604,1079,17,493,0
Bill Kuduk,59777,T,KENT STATE,14,100.0,0,201,66.4,63.4,66.0,3,18,485,100.0,100.0,97.0,7,25,4,1077,0,0,1072,1077,527,527,0,1,550,2
Evan Neal,99063,T,ALABAMA,15,100.0,0,103,85.8,83.6,80.4,5,8,626,100.0,100.0,98.6,1,15,2,1073,0,0,1071,1073,650,650,0,0,423,1
Loic Ngassam Nya,55442,G,WAKE,14,100.0,1,339,66.3,74.1,65.0,3,10,600,100.0,100.0,98.1,7,18,5,1071,0,131,0,1071,636,636,940,0,435,0
Sean Maginn,55446,G,WAKE,14,100.0,0,339,67.6,58.9,71.5,4,17,599,100.0,100.0,97.7,5,24,3,1070,126,944,0,1070,635,635,0,0,435,0
DeVonte Gordon,98391,T,WAKE,14,100.0,0,339,70.9,71.6,70.3,3,22,597,100.0,100.0,96.7,6,32,7,1068,0,0,0,1068,633,633,0,1068,435,0
Zach Tom,55443,T,WAKE,14,100.0,3,339,84.8,92.1,79.2,2,8,597,100.0,100.0,98.7,8,13,3,1064,0,0,1055,1064,633,633,0,7,431,2
Cole Brown,81768,T,N TEXAS,13,100.0,0,251,42.5,32.2,45.3,9,28,431,100.0,100.0,95.2,2,39,2,1054,0,0,1053,1054,463,463,0,0,591,1
Boe Wilson,41394,G,W KENTUCKY,14,100.0,2,346,72.9,87.1,67.6,0,8,732,100.0,100.0,99.3,5,9,1,1054,0,0,1,1054,777,777,1052,0,277,1
Quantavious Leslie,123456,G,W KENTUCKY,14,100.0,0,346,73.6,82.6,73.3,1,13,732,100.0,100.0,98.8,6,16,2,1054,0,1053,1,1054,777,777,0,0,277,0
Rusty Staats,81941,C,W KENTUCKY,14,100.0,0,346,68.0,76.8,68.6,0,6,732,100.0,100.0,99.6,10,6,0,1054,1054,0,0,1054,777,777,0,0,277,0
Carter Warren,60023,T,PITTSBURGH,14,99.6,1,268,70.7,76.6,67.6,2,18,617,99.4,99.4,97.6,9,25,5,1053,0,0,785,1057,651,655,0,10,402,262
Mason Brooks,81938,T,W KENTUCKY,14,100.0,1,346,73.8,75.7,71.9,1,14,730,100.0,100.0,98.4,7,19,4,1052,0,0,0,1052,775,775,1,1046,277,3
Demytrick Ali'ifua,41289,G,UTAH ST,14,100.0,0,329,53.3,51.8,52.0,11,14,533,100.0,100.0,97.3,4,27,2,1050,50,998,0,1050,574,574,1,0,476,0
Cole Birmingham,99427,T,OKLA STATE,14,100.0,1,262,67.1,66.7,66.6,7,16,494,100.0,100.0,96.7,8,28,5,1047,0,0,975,1047,530,530,71,0,517,1
Javion Cohen,123911,G,ALABAMA,14,100.0,0,103,61.8,49.8,64.9,6,28,605,100.0,100.0,97.2,2,34,0,1047,0,1046,0,1047,628,628,0,0,419,0
Jacob Brammer,59944,T,N TEXAS,13,100.0,1,251,58.1,59.2,57.8,2,22,428,100.0,100.0,97.0,6,25,1,1043,0,0,0,1043,460,460,0,1043,583,0
Nolan Potter,77521,T,N ILLINOIS,14,100.0,0,254,78.0,67.4,76.7,1,10,382,100.0,100.0,98.0,2,13,2,1036,0,0,0,1036,404,404,1,1029,632,6
Brayden Patton,40463,C,N ILLINOIS,14,100.0,0,254,64.1,70.0,62.8,0,2,382,100.0,100.0,99.7,5,2,0,1034,1034,0,0,1034,404,404,0,0,630,0
Alfred Edwards III,60190,T,UTAH ST,13,100.0,0,329,62.1,74.7,51.1,5,14,531,100.0,100.0,98.0,3,20,1,1034,0,0,1033,1034,570,570,0,0,464,1
Manase Mose,59950,C,N TEXAS,13,100.0,0,251,62.2,45.1,69.3,0,7,425,100.0,100.0,99.2,8,7,0,1033,985,0,0,1033,456,456,48,0,577,0
Logan Zschernitz,100262,G,N ILLINOIS,14,100.0,0,254,68.5,61.8,70.1,4,4,379,100.0,100.0,98.9,6,8,0,1029,0,0,0,1029,400,400,1007,1,629,17
Nick Broeker,99084,T,OLE MISS,13,100.0,1,226,68.0,75.6,65.1,2,13,523,100.0,100.0,97.8,10,19,4,1017,0,0,1017,1017,550,550,0,0,467,0
Emil Ekiyor Jr.,81540,G,ALABAMA,15,100.0,0,103,64.9,68.8,64.3,5,18,596,100.0,100.0,98.1,5,23,0,1010,0,0,0,1010,619,619,1009,0,391,0
Marques Cox,77518,T,N ILLINOIS,14,100.0,2,254,68.7,62.1,70.4,3,8,368,100.0,100.0,98.2,10,12,1,1008,0,0,1000,1008,390,390,0,0,618,8
Daizion Carroll,81769,G,N TEXAS,13,100.0,3,251,62.2,39.0,66.5,2,19,413,100.0,100.0,97.5,9,21,0,1005,60,0,0,1005,445,445,945,0,560,0
LaQuinston Sharp,99095,C,MISS STATE,13,100.0,0,227,76.6,83.8,73.8,0,7,746,100.0,100.0,99.3,3,9,2,1002,1002,0,0,1002,786,786,0,0,216,0
Anderson Hardy,81549,T,APP STATE,14,100.0,1,108,56.9,61.6,56.8,4,13,462,100.0,100.0,97.3,7,21,4,990,0,0,987,990,484,484,0,0,506,1
Mark Brooks,41609,T,W MICHIGAN,13,100.0,1,347,73.1,68.3,72.2,4,14,441,100.0,100.0,96.8,5,23,5,989,0,0,0,989,471,471,0,989,518,0
Wesley French,29608,T,W MICHIGAN,13,100.0,5,347,63.7,54.0,69.8,2,26,441,100.0,100.0,95.9,15,32,4,987,0,0,985,987,471,471,0,2,516,0
Kameron Jones,81739,G,MISS STATE,13,100.0,1,227,68.8,78.6,67.4,2,14,733,100.0,100.0,98.5,9,19,3,985,0,863,0,985,773,773,0,122,212,0
Dylan Couch,41390,G,TULSA,13,100.0,2,320,64.2,73.7,63.6,3,7,453,100.0,100.0,98.5,9,12,2,984,0,271,0,984,490,490,713,0,494,0
Cole Spencer,60236,T,W KENTUCKY,13,100.0,0,346,76.9,90.7,63.4,4,6,683,100.0,100.0,99.0,7,12,2,980,0,0,975,980,724,724,0,3,256,1
Chris Owens,40732,T,ALABAMA,15,100.0,2,103,52.7,49.9,53.6,2,40,564,100.0,100.0,95.6,7,46,4,978,103,0,17,978,585,585,0,856,393,2
Mike Caliendo,41446,C,W MICHIGAN,13,100.0,1,347,78.0,77.0,82.7,2,5,439,100.0,100.0,99.2,13,7,0,975,975,0,0,975,468,468,0,0,507,0
