player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Taaga Tuulima,38661,C,HAWAII,15,100.0,1,180,66.6,79.3,59.4,2,20,693,100.0,100.0,98.4,5,22,0,1069,1069,0,0,1069,720,720,0,0,349,0
Ilm Manning,75852,T,HAWAII,15,100.0,1,180,66.3,69.4,62.6,4,24,692,100.0,100.0,97.5,6,31,3,1067,0,0,1067,1067,719,719,0,0,348,0
Alan Ali,60053,C,SMU,13,100.0,0,287,54.6,61.0,50.7,3,11,538,100.0,100.0,98.7,3,14,0,1051,1050,0,0,1051,573,573,0,0,478,0
Junior Diaz,26655,C,FAU,14,100.0,0,165,80.3,82.0,79.0,1,7,550,100.0,100.0,99.3,2,8,0,1047,1047,0,0,1047,583,583,0,0,464,0
Brandon Walton,41533,T,FAU,14,100.0,2,165,71.6,84.0,60.6,2,6,547,100.0,100.0,99.1,5,9,1,1040,0,0,1039,1040,579,579,0,0,461,1
Lloyd Cushenberry III,41924,C,LSU,15,100.0,0,211,61.1,54.8,64.2,5,25,629,100.0,100.0,97.0,4,34,4,1039,1039,0,0,1039,652,652,0,0,387,0
Jake Benzinger,39255,T,WAKE,13,100.0,1,339,66.0,71.9,62.8,4,17,533,100.0,100.0,97.3,7,25,4,1037,0,0,18,1037,558,558,0,1015,479,4
Jaylon Thomas,77421,T,SMU,13,99.8,0,287,72.2,80.1,63.4,3,13,532,99.8,99.6,98.3,3,17,1,1036,0,0,1025,1038,566,568,0,0,470,10
Steve Eipper,25886,C,C MICHIGAN,14,100.0,0,134,58.3,64.4,55.6,4,8,521,100.0,100.0,98.5,6,14,2,1033,1033,0,0,1033,550,550,0,0,483,0
Luke Goedeke,77548,T,C MICHIGAN,14,100.0,2,134,81.4,74.3,81.0,6,18,521,100.0,100.0,97.1,5,27,3,1031,0,0,0,1031,550,550,0,1028,481,2
