player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Riley Mayfield,46910,T,N TEXAS,14,100.0,0,251,61.9,57.7,61.7,3,29,572,100.0,100.0,96.0,2,39,7,1050,0,0,0,1050,607,607,0,1044,443,2
Airon Servais,41573,C,SYRACUSE,12,100.0,1,304,57.0,61.3,56.6,7,14,616,100.0,100.0,98.1,5,22,1,1044,1044,0,0,1044,656,656,0,0,388,0
Elex Woodworth,27802,G,N TEXAS,14,100.0,0,251,64.5,47.6,67.6,10,23,572,100.0,100.0,96.4,1,37,4,1044,0,1040,0,1044,607,607,0,0,437,0
Sam Heckel,41853,G,SYRACUSE,12,100.0,1,304,64.0,65.6,61.4,4,21,613,100.0,100.0,97.6,1,27,2,1041,0,1041,0,1041,653,653,0,0,388,0
Frederick Mauigoa,41388,C,WASH STATE,13,100.0,3,341,64.7,63.7,62.9,8,32,795,100.0,100.0,96.9,5,45,5,1040,1040,0,0,1040,817,817,0,0,223,0
Jamar McGloster,46875,T,SYRACUSE,12,99.9,0,304,63.4,69.2,56.7,5,20,614,99.8,99.8,97.3,5,29,4,1040,0,0,6,1041,653,654,0,1034,387,0
Cody Conway,46284,T,SYRACUSE,12,100.0,2,304,70.3,79.0,63.7,2,13,612,100.0,100.0,98.1,6,19,4,1038,0,0,1037,1038,652,652,0,0,386,1
Andre Dillard,29250,T,WASH STATE,13,100.0,1,341,80.6,91.6,63.3,6,14,788,100.0,100.0,98.5,5,22,2,1034,0,0,1034,1034,810,810,0,0,224,0
B.J. Salmonson,26705,G,WASH STATE,13,100.0,0,341,72.5,72.2,74.2,6,26,789,100.0,100.0,97.0,2,40,8,1034,0,0,0,1034,811,811,1014,20,223,0
Evan Adams,46802,G,SYRACUSE,12,100.0,0,304,69.3,79.8,67.6,0,9,614,100.0,100.0,98.9,5,11,2,1033,0,0,0,1033,654,654,1024,9,379,0
Jordan Murray,46347,T,N TEXAS,14,100.0,0,251,59.1,53.8,64.0,12,29,566,100.0,100.0,95.1,8,48,7,1033,0,0,1026,1033,601,601,0,0,432,4
Nico Falah,45599,C,USC,14,100.0,0,326,69.1,75.6,64.3,3,14,546,100.0,100.0,98.1,0,19,2,1031,1031,0,0,1031,565,565,0,0,466,0
